id,name,city,category
"bangkok__tichuca-rooftop-bar","Tichuca Rooftop Bar","Bangkok","Rooftop / Coctelería"
"bangkok__arabica-bangkok-empire-tower","% Arabica Bangkok Empire Tower","Bangkok","Café / Mirador"
"chiang-mai__khao-soi-maesai","Khao Soi Maesai","Chiang Mai","Gastronomía"
"chiang-mai__vieng-thapae-resort","Vieng Thapae Resort","Chiang Mai","Alojamiento"
"chiang-rai__lalitta-cafe","Lalitta Café","Chiang Rai","Gastronomía"
"kanchanaburi__erawan-national-park-cataratas-erawan","Erawan National Park (Cataratas Erawan)","Kanchanaburi","Naturaleza"
"kanchanaburi__death-railway-tren-escenico","Death Railway (tren escénico)","Kanchanaburi","Histórico / Experiencia"
"kanchanaburi__river-kwai-cruise-opcional","River Kwai Cruise (opcional)","Kanchanaburi","Experiencia"
"chiang-mai__monk-chat-wat-suan-dok-otros","Monk Chat (Wat Suan Dok / otros)","Chiang Mai","Experiencia cultural"
"cerca-de-chiang-mai__elephant-nature-park-santuario-etico","Elephant Nature Park (santuario ético)","Cerca de Chiang Mai","Naturaleza / Ético"
"phuket__island-hopping-desde-phuket","Island Hopping desde Phuket","Phuket","Excursión"
"bangkok__amaranth-spa-kimpton-maa-lai","Amaranth Spa – Kimpton Maa-Lai","Bangkok","Spa / Masaje"
"chiang-mai__antique-massage-chiang-mai","Antique Massage Chiang Mai","Chiang Mai","Spa / Masaje"
"chiang-mai__baan-thai-cookery-school","Baan Thai Cookery School","Chiang Mai","Gastronomía / Clase"
"chiang-mai__cabalgata-rural-en-chiang-mai","Cabalgata rural en Chiang Mai","Chiang Mai","Naturaleza / Experiencia"
"phuket__spa-burasari-phuket","Spa Burasari Phuket","Phuket","Spa / Masaje"
"phuket__sama-onsen-massage","SAMA Onsen & Massage","Phuket","Spa / Masaje"
"phuket__phuket-thai-cooking-class-by-chef-vj","Phuket Thai Cooking Class by Chef VJ","Phuket","Gastronomía / Clase"
"phuket__cabalgata-costera-en-phuket","Cabalgata costera en Phuket","Phuket","Naturaleza / Experiencia"
"chiang-mai__vieng-thapae-resort-2","Vieng Thapae Resort","Chiang Mai","Alojamiento / Base"
"phuket-kamala__novotel-phuket-kamala-beach","Novotel Phuket Kamala Beach","Phuket (Kamala)","Alojamiento / Base"
